value,frequency
0,39240
6,2
8,1
9,7
10,9
11,6
12,13
13,1
14,76
15,29
17,70
18,26
19,6
20,159
21,102
22,36
23,12
24,6
25,239
26,5
27,54
28,8
29,120
30,30
31,19
32,35
33,310
34,8
35,24
36,122
37,26
38,136
39,15
40,430
41,90
42,104
43,335
44,150
45,122
46,79
47,37
48,79
49,29
50,1501
51,129
52,115
53,247
54,278
55,355
56,349
57,512
58,227
59,223
60,2331
61,459
62,721
63,240
64,347
65,394
66,429
67,1510
68,462
69,429
70,470
71,1018
72,297
73,704
74,593
75,3425
76,845
77,505
78,1028
79,1156
80,2381
81,581
82,1348
83,1659
84,439
85,1339
86,3408
87,598
88,1279
89,1694
90,1094
91,795
92,836
93,1043
94,644
95,437
96,637
97,518
98,303
99,1068
100,9810
